Rank, IGN, Tier, LP, Win-Lose, Winrate, Most Played, KDA, Avg CS, KP, 
rank 1,KC NEXT ADKING,challenger,1619 LP,147W 107L,WR 58%,Kai'Sa,3.87:1 KDA,CS 221.3 (9),
rank 2,Decay0,challenger,1595 LP,185W 137L,WR 57%,LeBlanc,4.89:1 KDA,CS 216.4 (8.5),
rank 3,hovinko z kose,challenger,1590 LP,103W 59L,WR 64%,Kai'Sa,2.88:1 KDA,CS 219.3 (8.8),
rank 4,SK Irrelevant,challenger,1510 LP,105W 70L,WR 60%,Aatrox,2.17:1 KDA,CS 178 (7),
rank 5,TheRoyalKanin,challenger,1425 LP,142W 107L,WR 57%,Cassiopeia,3.41:1 KDA,CS 211.7 (8.2),
rank 6,Peak Level,challenger,1417 LP,135W 90L,WR 60%,Rell,4.33:1 KDA,CS 28 (1.2),
rank 7,Thørs Snorresson,challenger,1416 LP,165W 121L,WR 58%,Viego,5.13:1 KDA,CS 163 (6.2),
rank 8,sanghyxxn,challenger,1354 LP,128W 97L,WR 57%,Rell,4.3:1 KDA,CS 30 (1.2),
rank 9,Pipibaat Yarr,challenger,1326 LP,127W 88L,WR 59%,Bel'Veth,3.59:1 KDA,CS 162.4 (6.9),
rank 10,SK Sertuss,challenger,1263 LP,134W 98L,WR 58%,Tristana,2.23:1 KDA,CS 211.4 (8.3),
rank 11,zyb,challenger,1258 LP,63W 19L,WR 77%,Lillia,4.69:1 KDA,CS 208.8 (8.5),
rank 12,VIVE Serendrip,challenger,1232 LP,117W 80L,WR 59%,Pyke,2.58:1 KDA,CS 39.6 (1.5),
rank 13,DONATELL0,challenger,1221 LP,91W 57L,WR 61%,Xayah,2.87:1 KDA,CS 221.1 (8.4),
rank 14,Ice0713,challenger,1220 LP,157W 132L,WR 54%,Ezreal,4.08:1 KDA,CS 207.9 (8.5),
rank 15,G2ThreeEyeDraven,challenger,1220 LP,118W 91L,WR 56%,Kalista,4.45:1 KDA,CS 222.9 (8.8),
rank 16,Groinze,challenger,1209 LP,141W 117L,WR 55%,Maokai,4.02:1 KDA,CS 125.2 (4.9),
rank 17,KOI Stend,challenger,1204 LP,108W 76L,WR 59%,Alistar,3.82:1 KDA,CS 31.2 (1.1),
rank 18,Shëun,challenger,1203 LP,131W 83L,WR 61%,Viego,4.53:1 KDA,CS 164.2 (6.4),
rank 19,SK Relevant,challenger,1200 LP,152W 123L,WR 55%,Viego,4.05:1 KDA,CS 149.9 (6),
rank 20,WP GG XD,challenger,1199 LP,113W 80L,WR 59%,Renekton,2.37:1 KDA,CS 218.9 (8.7),
rank 21,the voıces,challenger,1189 LP,137W 110L,WR 55%,Rell,2.82:1 KDA,CS 32.8 (1.3),
rank 22,Grind Arc,challenger,1183 LP,148W 115L,WR 56%,Kha'Zix,3.81:1 KDA,CS 171.2 (6.5),
rank 23,fιght,challenger,1181 LP,159W 131L,WR 55%,Renekton,2.86:1 KDA,CS 209.1 (8),
rank 24,Σ MORØSE,challenger,1175 LP,124W 95L,WR 57%,Swain,3.04:1 KDA,CS 186.4 (7.3),
rank 25,NoMoreAutopilot,challenger,1173 LP,102W 70L,WR 59%,Viego,3.11:1 KDA,CS 157.6 (6.2),
rank 26,SPOLFCEI,challenger,1159 LP,139W 111L,WR 56%,Vayne,3.47:1 KDA,CS 210.8 (8.4),
